Detector,E_log,LogCounts,y_calibrated,ydy
# Detector n:            1   Engy_SV,1.525222956539019e-08,0.0,0.2975631139633094,0.0
# Detector n:            1   Engy_SV,1.5848931924611133e-08,0.0,0.309204468517921,0.0
# Detector n:            1   Engy_SV,1.6468978654828684e-08,0.0,0.32130125968247114,0.0
# Detector n:            1   Engy_SV,1.711328304161781e-08,0.0,0.3338713051863914,0.0
# Detector n:            1   Engy_SV,1.7782794100389228e-08,0.0,0.34693311982973785,0.0
# Detector n:            1   Engy_SV,1.847849797422291e-08,0.0,0.36050594275420006,0.0
# Detector n:            1   Engy_SV,1.9201419386388024e-08,0.0,0.3746097657810141,0.0
# Detector n:            1   Engy_SV,1.99526231496888e-08,0.0,0.3892653628575205,0.0
# Detector n:            1   Engy_SV,2.0733215734859554e-08,0.0,0.40449432065573976,0.0
# Detector n:            1   Engy_SV,2.1544346900318832e-08,0.0,0.42031907036803373,0.0
# Detector n:            1   Engy_SV,2.23872113856834e-08,0.0,0.436762920746688,0.0
# Detector n:            1   Engy_SV,2.3263050671536264e-08,0.0,0.4538500924360759,0.0
# Detector n:            1   Engy_SV,2.417315480804104e-08,0.0,0.4716057536479796,0.0
# Detector n:            1   Engy_SV,2.5118864315095798e-08,0.0,0.4900560572326097,0.0
# Detector n:            1   Engy_SV,2.6101572156825374e-08,0.0,0.5092281791999291,0.0
# Detector n:            1   Engy_SV,2.7122725793320284e-08,0.0,0.5291503587480186,0.0
# Detector n:            1   Engy_SV,2.8183829312644534e-08,0.0,0.5498519398574472,0.0
# Detector n:            1   Engy_SV,2.9286445646252358e-08,0.0,0.5713634145129074,0.0
# Detector n:            1   Engy_SV,3.043219887107722e-08,0.0,0.5937164676157813,0.0
# Detector n:            1   Engy_SV,3.162277660168379e-08,0.0,0.6169440236537891,0.0
# Detector n:            1   Engy_SV,3.2859932476006545e-08,0.0,0.6410802951964645,0.0
# Detector n:            1   Engy_SV,3.414548873833603e-08,0.0,0.6661608332878808,0.0
# Detector n:            1   Engy_SV,3.548133892335755e-08,0.0,0.6922225798108587,0.0
# Detector n:            1   Engy_SV,3.686945064519576e-08,0.0,0.7193039218997836,0.0
# Detector n:            1   Engy_SV,3.8311868495572875e-08,0.0,0.7474447484821757,0.0
# Detector n:            1   Engy_SV,3.9810717055349736e-08,0.0,0.7766865090322972,0.0
# Detector n:            1   Engy_SV,4.1368204023885074e-08,0.0,0.8070722746233355,0.0
# Detector n:            1   Engy_SV,4.298662347082277e-08,0.0,0.8386468013680907,0.0
# Detector n:            1   Engy_SV,4.4668359215096306e-08,0.0,0.8714565963416057,0.0
# Detector n:            1   Engy_SV,4.64158883361278e-08,0.0,0.9055499860828448,0.0
# Detector n:            1   Engy_SV,4.823178482239307e-08,0.0,0.9409771877763109,0.0
# Detector n:            1   Engy_SV,5.011872336272723e-08,0.0,0.9777903832184587,0.0
# Detector n:            1   Engy_SV,5.207948328595463e-08,0.0,1.0160437956778376,0.0
# Detector n:            1   Engy_SV,5.411695265464638e-08,0.0,1.0557937697621849,0.0
# Detector n:            1   Engy_SV,5.623413251903491e-08,0.0,1.0970988544100997,0.0
# Detector n:            1   Engy_SV,5.843414133735176e-08,0.0,1.1400198891295474,0.0
# Detector n:            1   Engy_SV,6.072021956909888e-08,0.0,1.1846200936102098,0.0
# Detector n:            1   Engy_SV,6.309573444801934e-08,0.0,1.230965160841675,0.0
# Detector n:            1   Engy_SV,6.556418494179789e-08,0.0,1.2791233538746307,0.0
# Detector n:            1   Engy_SV,6.812920690579612e-08,0.0,1.329165606367574,0.0
# Detector n:            1   Engy_SV,7.079457843841381e-08,0.0,1.381165627067144,0.0
# Detector n:            1   Engy_SV,7.356422544596415e-08,0.0,1.4352000083759566,0.0
